sku number,sku name,product line code,product line name,cmr product line,sub platform
SER.10373,               1-year extended warranty,2LU,Hardware Contract,BEAService,BEA
FAT30L,               30L imPULSE FAT,2LX,Validation,BEAService,BEA
SAT30L,               30L imPULSE SAT,2LX,Validation,BEAService,BEA
CO04.SERVS0B.11410,               Add item to SERVS0B.11410,2LT,Project Services,BEAService,BEA
CO03.SERVS0B.11410,               Add items to SERVS0B.11410,2LT,Project Services,BEAService,BEA
FAT500-1000L,               Basic Factory Acceptance Test 500L-1000L SUM or SUB,2LX,Validation,BEAService,BEA
FATDS300,               Basic Factory Acceptance Test DS300,2LX,Validation,BEAService,BEA
FATSUF30L,               Basic Factory Acceptance Test SUF 30L,2LX,Validation,BEAService,BEA
CO04.SERVS0B.6925,"               Change Order #4, Remove x6 FDOC-SSAT-SUB & Add x6 FDOC-ESAT-SUB",2LX,Validation,BEAService,BEA
CO01.SER.14503,               Changes to SER.14503,2LT,Project Services,BEAService,BEA
CO01.SERVES0B.14502,               Changes to SERVES0B.14502,2LT,Project Services,BEAService,BEA
CO01.SERVS0B.12581,               Changes to SERVS0B.12581,2LT,Project Services,BEAService,BEA
CO03.SERVS0B.12581,               Changes to SERVS0B.12581,2LT,Project Services,BEAService,BEA
FSVR-COM-SUB-2,"               Combined Leveraged IQ/OQ for largest & smallest (bracketed) systems, for all types combined services - Control of SUB/SUF, 1.5 days per vessel  (does not include Validation Report)",2LX,Validation,BEAService,BEA
FSVR-CRA-DLV,               DeltaV equipment crating/packaging - G3 Systems,2LR,Field Services,BEAService,BEA
DOC.13881,               Documentation Package,2LT,Project Services,BEAService,BEA
DOC.14539,               Documentation Package,2LT,Project Services,BEAService,BEA
DOC.15670,               Documentation Package,2LT,Project Services,BEAService,BEA
DOC.6976,               Documentation Package,2LT,Project Services,BEAService,BEA
DOC.6031,"               Documentation Package, Beijing VDJ",2LT,Project Services,BEAService,BEA
DOC.6418,"               Documentation Package, BI",2LT,Project Services,BEAService,BEA
DOC.6528,"               Documentation Package, Bibo",2LT,Project Services,BEAService,BEA
DOC.6715,"               Documentation Package, Cstone",2LT,Project Services,BEAService,BEA
DOC.6741,"               Documentation Package, Cstone",2LT,Project Services,BEAService,BEA
DOC.6493,"               Documentation Package, Desen",2LT,Project Services,BEAService,BEA
DOC.6313,"               Documentation Package, Genor",2LT,Project Services,BEAService,BEA
DOC.6894,"               Documentation Package, Junshi",2LT,Project Services,BEAService,BEA
DOC.6466,"               Documentation Package, Kangnaide",2LT,Project Services,BEAService,BEA
DOC.6097,"               Documentation Package, Mabgen",2LT,Project Services,BEAService,BEA
DOC.6314,"               Documentation Package, Wuxi",2LT,Project Services,BEAService,BEA
DOC.6385,"               Documentation Package, Wuxi",2LT,Project Services,BEAService,BEA
DOC.6515,"               Documentation Package, Wuxi",2LT,Project Services,BEAService,BEA
SERVTRAVEL.010,               Elanco travel for 3 days on-site training,2LR,Field Services,BEAService,BEA
FATinSITE,               Factory Acceptance Testing inSITE,2LX,Validation,BEAService,BEA
CO01.SER.10741,               FAT and SAT activities for imPULSE,2LX,Validation,BEAService,BEA
QFEE-FAT Merck,"               FAT for 7 imPULSE units, Merck",2LX,Validation,BEAService,BEA
SERFSAT.5433,               FAT/SAT Execution,2LX,Validation,BEAService,BEA
QFEE - FAT50-250L,               Full FAT Document; Bag Fit and Function Test; Bag NOT INCLUDED,2LX,Validation,BEAService,BEA
QFEE - FAT2000L,               Full FAT Document; Bag NOT INCLUDED; Bag Fit and Function Test,2LX,Validation,BEAService,BEA
QFEE - FAT500L,               Full FAT Document; Bag NOT INCLUDED; Bag Fit and Function Test,2LX,Validation,BEAService,BEA
QFEE - SAT2000L,               Full FAT Document; Bag NOT INCLUDED; Bag Fit and Function Test,2LX,Validation,BEAService,BEA
FATBMS,               HDWR|Factory Acceptance Testing,2LX,Validation,BEAService,BEA
DOC.13382,               HyPerforma Glass TOP system - electronic documentation per Thermo Fisher format,2LT,Project Services,BEAService,BEA
DOC.13761,               HyPerforma Glass TOP system - electronic documentation per Thermo Fisher format,2LT,Project Services,BEAService,BEA
SER.6163,"               Initial System startup at customer site, travel not included (daily rate for initial startup only), Mabplex",2LR,Field Services,BEAService,BEA
SER.5290,               On-Site Expenses per Day,2LR,Field Services,BEAService,BEA
SER.6050,               On-site initial Start-up,2LR,Field Services,BEAService,BEA
SERVPM.015,               PM Service 250L SUB Binex,2LT,Project Services,BEAService,BEA
DOC.6263,"               Premium GMP document package, Lepu",2LT,Project Services,BEAService,BEA
DOC.6284,"               Premium GMP document package, Lepu",2LT,Project Services,BEAService,BEA
SER.10390,"               Quality Checkout (QC), for Bioreactors & Fermenters",2LX,Validation,BEAService,BEA
CO01.SER.10740,               Safety Testing for detachable base - structural,2LT,Project Services,BEAService,BEA
FSAT-DOC-5223,               SAT Documentation,2LX,Validation,BEAService,BEA
DOCSAT.10512,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT.10803,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.11003,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.11674,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.12050,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.12542,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.13718,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.14878,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.15214,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.15517,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.15556,               Security Audit Trail,2LX,Validation,BEAService,BEA
DOCSAT0.15861,               Security Audit Trail,2LX,Validation,BEAService,BEA
CO01.FSVR-DAY,               Service by the Day (On-site availability - as schedule allows w/o Service Plan),2LR,Field Services,BEAService,BEA
CO01.SER.15048,               Service Package,2LT,Project Services,BEAService,BEA
SER.15597,               Service Package,2LT,Project Services,BEAService,BEA
SER.5110,               Service Package,2LT,Project Services,BEAService,BEA
SER.5365,               Service Package,2LT,Project Services,BEAService,BEA
SER.5400,               Service Package,2LT,Project Services,BEAService,BEA
SER.5626,               Service Package,2LT,Project Services,BEAService,BEA
CO01.SER.13672,               Service Package-Adding back in Service items that were removed from the CO01.NET.13671 Network Equipment Package,2LT,Project Services,BEAService,BEA
CO09.SER.13699,               Service Package-NRE for SmartCart,2LT,Project Services,BEAService,BEA
CO03.SER.13699,               Service Package-Remove NRE for Alicat MFC Integration,2LT,Project Services,BEAService,BEA
FSVR-TRV-AP2,               Service Travel Charge,2LR,Field Services,BEAService,BEA
SER.13608,               Site Services,2LT,Project Services,BEAService,BEA
CO01.SER.10742,               Site Services and Project Managment Support,2LT,Project Services,BEAService,BEA
CO01.SER.11931,               Software NRE for system Migration,2LT,Project Services,BEAService,BEA
CO01.SER.11932,               Software SQA,2LT,Project Services,BEAService,BEA
